iter	Passed	Remaining
460	1668	141
461	1671	137
462	1673	133
463	1675	130
464	1678	126
465	1681	122
466	1684	119
467	1687	115
468	1689	111
469	1691	107
470	1693	104
471	1696	100
472	1698	96
473	1700	93
474	1702	89
475	1704	85
476	1707	82
477	1709	78
478	1713	75
479	1715	71
480	1718	67
481	1721	64
482	1723	60
483	1726	57
484	1728	53
485	1730	49
486	1732	46
487	1735	42
488	1737	39
489	1741	35
490	1743	31
491	1746	28
492	1748	24
493	1751	21
494	1755	17
495	1757	14
496	1759	10
497	1762	7
498	1764	3
499	1767	0
