iter	Logloss
0	0.6875713222
1	0.6815378243
2	0.675929321
3	0.6706014047
4	0.6651807397
5	0.6595983124
6	0.6550352637
7	0.6497634951
8	0.645153099
9	0.6403547306
10	0.6354523137
11	0.6313736896
12	0.6268376232
13	0.6220218027
14	0.6180099973
15	0.6138068643
16	0.6092797708
17	0.6051762388
18	0.6016920561
19	0.5979206237
20	0.5937334592
21	0.5895574994
22	0.5864225744
23	0.5830516168
24	0.5798526824
25	0.5760769954
26	0.573172524
27	0.5694589196
28	0.5661805689
29	0.5626115336
30	0.5596340527
31	0.5567121276
32	0.5543605494
33	0.5516841582
34	0.5491711465
35	0.5463701836
36	0.5432601496
37	0.5407915286
38	0.539465347
39	0.5371046445
40	0.534389636
41	0.5324825659
42	0.5299361543
43	0.5271564722
44	0.5257499647
45	0.5233727176
46	0.521035978
47	0.5186380013
48	0.51722867
49	0.5152254158
50	0.5128215504
51	0.5107871961
52	0.5093643785
53	0.5069870178
54	0.5055072204
55	0.5033956092
56	0.5013436425
57	0.5001496161
58	0.4982867501
59	0.4969909523
60	0.4956046748
61	0.4942307752
62	0.4928072715
63	0.4911489826
64	0.4903590914
65	0.4894765113
66	0.4882153246
67	0.4868999209
68	0.4855792998
69	0.4837699312
70	0.4818295186
71	0.480212357
72	0.4793653976
73	0.4786339183
74	0.4773006496
75	0.476299246
76	0.4747908982
77	0.4737358045
78	0.4722833863
79	0.4708415705
80	0.4694828449
81	0.4679492074
82	0.467340609
83	0.4665399846
84	0.465336237
85	0.4638057536
86	0.4630868305
87	0.4620433912
88	0.4607124549
89	0.4592166939
90	0.4585512778
91	0.4574063858
92	0.4562799047
93	0.4550920103
94	0.4546026603
95	0.4538574776
96	0.4531264228
97	0.4526356424
98	0.4519525205
99	0.4513168691
100	0.4505814533
101	0.4495794511
102	0.4490265915
103	0.4479327624
104	0.4472509841
105	0.4463414189
106	0.4453422471
107	0.4447432446
108	0.4435983732
109	0.4428938854
110	0.4416657755
111	0.4411113785
112	0.4401758677
113	0.4396219199
114	0.4392687674
115	0.4384566971
116	0.4377273194
117	0.4372711213
118	0.4364860269
119	0.4357745933
120	0.4350044396
121	0.4343109515
122	0.4338550416
123	0.4331747902
124	0.4324136214
125	0.4320213645
126	0.4314913675
127	0.4312320569
128	0.4303917411
129	0.4294336151
130	0.4286463954
131	0.4282445956
132	0.4276598174
133	0.4272946618
134	0.4268601917
135	0.4265033311
136	0.4258842988
137	0.4256610832
138	0.4247778544
139	0.424109527
140	0.4233146627
141	0.4229401867
142	0.4223550967
143	0.4218020351
144	0.4214956047
145	0.4211733596
146	0.421010326
147	0.4207028144
148	0.4202765344
149	0.4201271618
150	0.4194304572
151	0.4187987385
152	0.4185236828
153	0.418046596
154	0.4176156222
155	0.4173327991
156	0.416746307
157	0.416443535
158	0.4160901231
159	0.4159456262
160	0.4154349724
161	0.4152484331
162	0.414815507
163	0.4140979015
164	0.4136210526
165	0.4134156455
166	0.4132640718
167	0.4130920192
168	0.4126772898
169	0.4122511559
170	0.4119213663
171	0.4116645733
172	0.4113734811
173	0.4111877978
174	0.4109821545
175	0.410467878
176	0.4098681944
177	0.4095378631
178	0.4090683358
179	0.4088588538
180	0.4083895091
181	0.4078811788
182	0.4074902909
183	0.4073412575
184	0.4071216469
185	0.4068036421
186	0.4064087123
187	0.4061635541
188	0.4060429349
189	0.4059738292
190	0.4057977203
191	0.405468635
192	0.4051144845
193	0.4049794347
194	0.4047769048
195	0.4043728655
196	0.4041599825
197	0.4040724338
198	0.404022735
199	0.403790634
200	0.4032562189
201	0.4031348612
202	0.4028529461
203	0.4027798774
204	0.4024521025
205	0.4021964873
206	0.4020517925
207	0.4019203732
208	0.40180455
209	0.4015262964
210	0.4014449846
211	0.4013704296
212	0.4013143608
213	0.4012452604
214	0.400949529
215	0.4009290643
216	0.4004843756
217	0.400202277
218	0.399993365
219	0.3997208038
220	0.3997155965
221	0.3993573464
222	0.3993039596
223	0.3990104075
224	0.3989731999
225	0.3986714795
226	0.3985757933
227	0.3984866836
228	0.3983174786
229	0.3980960403
230	0.397937855
231	0.3978346857
232	0.3973569794
233	0.3972046246
234	0.3967889207
235	0.396463887
236	0.3964595232
237	0.3962946625
238	0.3961873078
239	0.3961789894
240	0.3961537009
241	0.3959981869
242	0.3954708275
243	0.3952678867
244	0.3950728908
245	0.3948886407
246	0.3944957632
247	0.3943604425
248	0.3938924177
249	0.3938791084
250	0.3936889518
251	0.3934922511
252	0.3934736984
253	0.3933853117
254	0.3932396446
255	0.3929738433
256	0.3928720735
257	0.3927245688
258	0.3926730955
259	0.3921636523
260	0.3918276403
261	0.3917454186
262	0.391451273
263	0.3911555311
264	0.3911142353
265	0.3911060858
266	0.3908730262
267	0.3906262918
268	0.3901905775
269	0.3901342757
270	0.3899572223
271	0.3896718717
272	0.3895351388
273	0.3894297932
274	0.3894161562
275	0.389314186
276	0.3892411937
277	0.3889782328
278	0.3886447109
279	0.3882289924
280	0.3879899247
281	0.3876616353
282	0.3872812687
283	0.3872570782
284	0.3871104911
285	0.3870607941
286	0.3869395934
287	0.3866456415
288	0.3862931602
289	0.38587877
290	0.3858713838
291	0.3858699526
292	0.3856277889
293	0.3855747109
294	0.3855015965
295	0.3854514243
296	0.385356868
297	0.3853190359
298	0.3852122258
299	0.3848238886
300	0.3846904111
301	0.3846032308
302	0.3840457849
303	0.3836990095
304	0.3836521759
305	0.3836173389
306	0.3835786843
307	0.3833980432
308	0.3833879576
309	0.3833314364
310	0.3827466444
311	0.3826060259
312	0.3825644247
313	0.3825236185
314	0.3824874134
315	0.3824656429
316	0.3821639526
317	0.3816018163
318	0.3815913702
319	0.3815621427
320	0.3814989546
321	0.3813400218
322	0.3812665881
323	0.3809810608
324	0.3809384091
325	0.3806334852
326	0.3804344891
327	0.3803572625
328	0.3803104524
329	0.3798993939
330	0.3798516664
331	0.3796944271
332	0.3791891768
333	0.3790707219
334	0.3790550137
335	0.3789287852
336	0.3788677247
337	0.3787096604
338	0.3786882039
339	0.378665927
340	0.3782860981
341	0.378276917
342	0.3782708745
343	0.3780438143
344	0.3780235696
345	0.3777456479
346	0.3776612797
347	0.377423017
348	0.377416601
349	0.377396674
350	0.3773104667
351	0.3772652114
352	0.3771045487
353	0.3769604432
354	0.3769459327
355	0.3769003773
356	0.3767280999
357	0.3766274013
358	0.3766106304
359	0.3765540906
360	0.3763849106
361	0.375997154
362	0.3758656289
363	0.3758654643
364	0.3757202536
365	0.3753951281
366	0.3753344952
367	0.3751341998
368	0.3751340663
369	0.3750916656
370	0.3750867161
371	0.3748864563
372	0.3748386227
373	0.3747309906
374	0.3747308434
375	0.3746362432
376	0.3745078627
377	0.3745014326
378	0.3745013283
379	0.3742723345
380	0.3742366521
381	0.3741996977
382	0.3741203755
383	0.3739198498
384	0.3738516466
385	0.3738397248
386	0.3736240688
387	0.3734418542
388	0.3732453882
389	0.3732279639
390	0.3730554735
391	0.3730353156
392	0.3729282169
393	0.3729212388
394	0.3728771667
395	0.3728771128
396	0.3728563938
397	0.3727221519
398	0.3726949645
399	0.3723742494
400	0.3722722044
401	0.3722666789
402	0.3721855843
403	0.3721697383
404	0.3721315799
405	0.372089143
406	0.3720382895
407	0.3720368431
408	0.3720368093
409	0.3720367762
410	0.3720367437
411	0.3719849396
412	0.3716987275
413	0.3715359403
414	0.3715246612
415	0.3714716517
416	0.3714461881
417	0.3714203383
418	0.3713740533
419	0.3713740286
420	0.3711769435
421	0.3711396904
422	0.3711395875
423	0.3711048848
424	0.371061993
425	0.3709184084
426	0.3708965484
427	0.3707777031
428	0.3707280449
429	0.3707280298
430	0.3706842535
431	0.3706842026
432	0.3706173316
433	0.3706115481
434	0.3705806519
435	0.3704477589
436	0.3703771319
437	0.3702849895
438	0.3702683036
439	0.370161615
440	0.370070689
441	0.3698852866
442	0.3698848735
443	0.3697829364
444	0.3697411317
445	0.3697260014
446	0.3694501068
447	0.3691831578
448	0.3690360952
449	0.3689946606
450	0.3689601061
451	0.3689281887
452	0.3688478541
453	0.3688456461
454	0.3688146843
455	0.3687929402
456	0.3687647295
457	0.3687632639
458	0.3686975332
459	0.3685959022
460	0.3685761705
461	0.3685233506
462	0.3684767373
463	0.3684747187
464	0.3684461548
465	0.3684455798
466	0.3684378625
467	0.3683273428
468	0.3683267738
469	0.3683231822
470	0.3683120492
471	0.3679939965
472	0.3677398618
473	0.36770157
474	0.3676847308
475	0.3675606016
476	0.3672487223
477	0.3671423963
478	0.367099147
479	0.3669321347
480	0.3667163529
481	0.3665699314
482	0.3664785199
483	0.3664762137
484	0.3663922815
485	0.3663794458
486	0.3663614815
487	0.3663601934
488	0.3663599953
489	0.3663580634
490	0.3663527227
491	0.3663477527
492	0.3663237704
493	0.3661024682
494	0.3660546471
495	0.3658691497
496	0.3658689368
497	0.3656551476
498	0.365643873
499	0.365643869
